Topic,Subtopic,Description,2015 Variable Name,2011/2013 Variable Name
Income,Person Income,Person's retirement income  (past 12 months),RETP,Not Available
Income,Person Income,Person's other income (past 12 months),OIP,Not Available
Housing Costs,Total Housing Cost,Monthly total mortgage amount (all mortgages),MORTAMT,AMMORT
Housing Costs,Total Housing Cost,Monthly rent amount,RENT,RENT
Housing Costs,Total Housing Cost,Monthly total utility amount,UTILAMT,AMTF;AMTT;AMTW;AMTE;AMTG;AMTO
Housing Costs,Total Housing Cost,Monthly property tax amount,PROTAXAMT,AMTX
Housing Costs,Total Housing Cost,Monthly homeowner or renter insurance amount,INSURAMT,Not Available
Housing Costs,Total Housing Cost,Monthly homeowners or condominium association amount,HOAAMT,Not Available
Housing Costs,Total Housing Cost,Monthly lot rent amount,LOTAMT,Not Available
Housing Costs,Total Housing Cost,Monthly total housing costs,TOTHCAMT,ZSMHC
Housing Costs,Utilities,Monthly electric amount,ELECAMT,AMTE
Housing Costs,Utilities,Monthly gas amount,GASAMT,AMTG
Housing Costs,Utilities,Monthly oil amount,OILAMT,AMTO
Housing Costs,Utilities,Monthly amount for other fuels,OTHERAMT,AMTF
Housing Costs,Utilities,Monthly trash amount,TRASHAMT,AMTT
Housing Costs,Utilities,Monthly water amount,WATERAMT,AMTW
Housing Costs,Renter Subsidy,Subsidized renter status and eligibility (admin match),HUDSUB,HUDADMIN
Housing Costs,Renter Subsidy,Flag indicating rent is limited by rent control or stabilization,RENTCNTRL,RCNTRL
Housing Costs,Renter Subsidy,Type of rental subsidy (based on respondent report),RENTSUB,VCHRMOV;SUBRNT;PROJ;APPLY;VCHR
Housing Costs,Affordability,Household income as percent of poverty threshold (rounded),PERPOVLVL,POOR
Housing Costs,Affordability,Federal poverty level threshold,POVLVLINC,IPOV
Housing Costs,"Owner's Purchase, Value, and Debt",Number and type of mortgages or similar debts,MORTSTAT,Not Available
Housing Costs,"Owner's Purchase, Value, and Debt","Year unit bought, obtained, or received",YEARBUY,WHNGET
Housing Costs,"Owner's Purchase, Value, and Debt",Description of how owner obtained unit,HOWBUY,CUSHOM
Housing Costs,"Owner's Purchase, Value, and Debt",Purchase price,PRICE,LPRICE
Housing Costs,"Owner's Purchase, Value, and Debt",Main source of down payment on unit,DWNPAYSRC,DWNPAY
Housing Costs,"Owner's Purchase, Value, and Debt",Down payment percentage,DWNPAYPCT,DOWNPCT
Housing Costs,"Owner's Purchase, Value, and Debt",Flag indicating if first-time home buyer,FIRSTHOME,FRSTHO
Housing Costs,"Owner's Purchase, Value, and Debt",Current market value of unit,MARKETVAL,VALUE
Housing Costs,"Owner's Purchase, Value, and Debt",Current market value of land on which on mobile/manufactured home now sits,LOTVAL,LVALUE/PVALUE
Housing Costs,"Owner's Purchase, Value, and Debt",Total remaining debt across all mortgages or similar debts for this unit,TOTBALAMT,HEBAL1-3;HEBAM1-3;UNPBAL1-3
Housing Costs,"Owner's Purchase, Value, and Debt",Flag indicating lead pipes inspected before purchase,LEADINSP,TPBPIP
Housing Costs,"Owner's Purchase, Value, and Debt",For rent or sale status of unit,FORSALE,MARKET
Mortgage Details,Mortgage Origination,Line number of mortgage,MORTLINE,Not Available
Mortgage Details,Mortgage Origination,Type of loan,LOANTYPE,Not Available
Mortgage Details,Mortgage Origination,Type of mortgage,MORTTYPE,ARM;BLOON;CANVAR;FIXED;GPM;OTRPM;TIMBOM
Mortgage Details,Mortgage Origination,Year mortgage obtained,MORTYEAR,YRMOR
Mortgage Details,Mortgage Origination,Interest rate of mortgage,INTRATE,INTR
Mortgage Details,Mortgage Origination,Term of mortgage,MORTTERM,TERM
Mortgage Details,Mortgage Origination,Type of ARM,MORTARM,ARM;TERM;HYBARM;HYBMYR
Mortgage Details,Mortgage Origination,Final balance due for balloon mortgage,BALLOONAMT,BALAMT
Mortgage Details,Mortgage Origination,Mortgage new or assumed,MORTNEW,NEWMOR
Mortgage Details,Mortgage Origination,Percentage of used for purchase of home,MORTPURCH,PERUS1
Mortgage Details,Mortgage Origination,Percentage of mortgage used for additions or improvements,MORTADDTN,ADDTNS
Mortgage Details,Mortgage Origination,Source of mortgage financing,MORTSRC,BANK;SELL
Mortgage Details,Mortgage Origination,Type of Federal government mortgage insurance,MORTGOV,MORTIN
Mortgage Details,Mortgage Origination,Flag indicating mortgage is subsidized through a state or local government program,MORTSUB,SUBMOR
Mortgage Details,Mortgage Origination,"Flag indicating mortgage obtained without proof of income, assets, or debts",MORTDOC,DOC
Mortgage Details,Current Payment Details,Amount of mortgage payment,PMTAMT,PMT
Mortgage Details,Current Payment Details,Frequency of mortgage payment,PMTFREQ,FMRPMT
Mortgage Details,Current Payment Details,Amount currently owed on mortgage,UNPBALAMT,UNPBAL
Mortgage Details,Current Payment Details,Flag indicating principal included in mortgage payment ,PRIPMT,PRIPMT
Mortgage Details,Current Payment Details,Flag indicating interest included in mortgage payment,INTPMT,INTPMT
Mortgage Details,Current Payment Details,Flag indicating property taxes included in mortgage payment ,TAXPMT,TAXPMT
Mortgage Details,Current Payment Details,Flag indicating homeowners insurance included in mortgage payment,INSPMT,INSPMT
Mortgage Details,Current Payment Details,Flag indicating private mortgage insurance included in mortgage payment ,PMIPMT,PMIPMT
Mortgage Details,Current Payment Details,Amount of private mortgage insurance included in monthly mortgage payment,PMIAMT,PMIAMT
Mortgage Details,Current Payment Details,Flag indicating other charges included in mortgage payment,OTHPMT,OTHPMT
Mortgage Details,Current Payment Details,Amount of other charges in monthly mortgage payment,OTHAMT,AMTM
Mortgage Details,Payment Change,Flag indicating mortgage payment changed in the past year,PTCHYR,PTCHYR
Mortgage Details,Payment Change,Amount of mortgage payment change,PTCHAM,PTCHAM
Mortgage Details,Payment Change,Flag indicating mortgage payment changed because lender modified mortgage to prevent foreclosure,LENMOD,LENMOD
Mortgage Details,Payment Change,Flag indicating mortgage payment changed because mortgage no longer allows you to decide how much to pay,FXDPM,FXDPM
Mortgage Details,Payment Change,Flag indicating mortgage payment changed because the minimum payment choice increased,MINPM,MINPM
Mortgage Details,Payment Change,Flag indicating mortgage payment changed because mortgage changed from interest only to interest plus payment in order to reduce mortgage balance,INTPM,INTPM
Mortgage Details,Payment Change,Flag indicating mortgage payment changed because mortgage changed from fixed rate to adjustable rate or vice versa,RATEPM,RATEPM
Mortgage Details,Payment Change,Flag indicating mortgage payment changed because the adjustable interest rate changed,ADJPM,ADJPM
Mortgage Details,Payment Change,Flag indicating mortgage payment changed because of something else,OTRPM,OTRPM
Mortgage Details,Refinance,Flag indicating mortgage is a refinance of previous mortgage,REFI,REFI
Mortgage Details,Refinance,Amount of cash received from refinance,REFICSHAMT,CASH
Mortgage Details,Refinance,Flag indicating mortgage refinanced to get a lower interest rate,REFILWINT,LOWINT
Mortgage Details,Refinance,Flag indicating mortgage refinanced to reduce the monthly payment,REFILWPAY,REDMON
Mortgage Details,Refinance,Flag indicating mortgage refinanced to reduce the payment period,REFILWPER,REDPAY
Mortgage Details,Refinance,Flag indicating mortgage refinanced to increase the payment period,REFIINCPER,INCPER
Mortgage Details,Refinance,Flag indicating mortgage refinanced to receive cash or increase the outstanding balance of the loan,REFICSH,GTCASH
Mortgage Details,Refinance,Flag indicating mortgage refinanced for the option to suspend or temporarily reduce mortgage payments,REFIEXTLN,EXTLON
Mortgage Details,Refinance,Flag indicating mortgage refinanced for some other reason,REFIOTH,OTHREF
Mortgage Details,HELOC,Amount of credit limit on home equity loan,HELOCLIM,HECR1
Mortgage Details,HELOC,Flag indicating home equity loan has a current balance,HELOCBAL,HEBAL1
Mortgage Details,HELOC,"Flag indicating home equity loan used for additions, improvements, or repairs",HELOCADD,IMPROV
Home Improvement,General,Total number of home improvement jobs in last two years,REMODJOBS,RAN
Home Improvement,General,Total cost of home improvement jobs in last two years,REMODAMT,RAC
Home Improvement,General,Flag indicating  home improvements done to make home more accessible for elderly or disabled in last two years ,HMRACCESS,Not Available
Home Improvement,General,Flag indicating  home improvements done to make home more energy efficient in last two years ,HMRENEFF,ENEFIC
Home Improvement,General,Flag indicating  home improvements done to get house ready for sale  in last two years ,HMRSALE,Not Available
Home Improvement,General,Amount of annual routine maintenance costs,MAINTAMT,CSTMNT
Home Improvement,Job Specific,Type of home improvement job,JOBTYPE,RAS
Home Improvement,Job Specific,Flag indicating job was do-it-yourself,JOBDIY,RAH
Home Improvement,Job Specific,Cost of home improvement job,JOBCOST,RAD
Home Improvement,Job Specific,Main source of funding for home improvement job,JOBFUNDS,RAH;SUBFIX;TAXCRD;TAXINC
Home Improvement,Job Specific,Flag indicating if the home improvement job is complete,JOBCOMP,Not Available
Home Improvement,Job Specific,Year home improvement job was completed,JOBCOMPYR,Not Available
Home Improvement,Job Specific,Year that the majority of home improvement expenses were incurred for this job,JOBWORKYR,Not Available
Neighborhood Features,General,Flag indicating respondent thinks the majority of neighbors 55 or older,NORC,NORC
Neighborhood Features,Nearby Features,Number of buildings with bars on windows within 1/2 block of this housing unit,NEARBARCL,EBARCL
Neighborhood Features,Nearby Features,Number of buildings that are abandoned or vandalized within 1/2 block of this housing unit,NEARABAND,EABAN
Neighborhood Features,Nearby Features,"Frequency of trash, litter, or junk in streets, lots, or properties within 1/2 block of this housing unit",NEARTRASH,EJUNK
Neighborhood Features,Ratings,Rating of unit as a place to live,RATINGHS,HOWH
Neighborhood Features,Ratings,Rating of neighborhood as place to live,RATINGNH,HOWN
Neighborhood Features,Ratings,Agree or Disagree: This neighborhood has good schools,NHQSCHOOL,Not Available
Neighborhood Features,Ratings,Agree or Disagree:  This neighborhood has a lot of petty crime,NHQPCRIME,Not Available
Neighborhood Features,Ratings,Agree or Disagree:  This neighborhood has a lot of serious crime,NHQSCRIME,Not Available
Neighborhood Features,Ratings,"Agree or Disagree:  This neighborhood has good bus, subway, or commuter train service",NHQPUBTRN,Not Available
Neighborhood Features,Ratings,Agree or Disagree:  This neighborhood is at high risk for floods or other disasters,NHQRISK,Not Available
Recent Movers,Reason for Moving,"Flag indicating respondent, who moved in last two years, was forced to move by landlord, bank, government, or disaster",MOVFORCE,Not Available
Recent Movers,Reason for Moving,"Flag indicating respondent, who moved in last two years, moved for job",RMJOB,Not Available
Recent Movers,Reason for Moving,"Flag indicating respondent, who moved in last two years, moved to form household",RMOWNHH,Not Available
Recent Movers,Reason for Moving,"Flag indicating respondent, who moved in last two years, moved for family",RMFAMILY,Not Available
Recent Movers,Reason for Moving,"Flag indicating respondent, who moved in last two years, moved because of change in household",RMCHANGE,Not Available
Recent Movers,Reason for Moving,"Flag indicating respondent, who moved in last two years, moved to reduce commute",RMCOMMUTE,Not Available
Recent Movers,Reason for Moving,"Flag indicating respondent, who moved in last two years, moved for better home",RMHOME,Not Available
Recent Movers,Reason for Moving,"Flag indicating respondent, who moved in last two years, moved to reduce housing costs",RMCOSTS,Not Available
Recent Movers,Reason for Moving,"Flag indicating respondent, who moved in last two years, moved to be in more desirable neighborhood",RMHOOD,Not Available
Recent Movers,Reason for Moving,"Flag indicating respondent, who moved in last two years, moved for another reason",RMOTHER,Not Available
Recent Movers,Housing Search,"Flag indicating respondent, who moved in last two years, found home through family, friends, or other word of mouth",SEARCHFAM,Not Available
Recent Movers,Housing Search,"Flag indicating respondent, who moved in last two years, found home through the Internet",SEARCHNET,Not Available
Recent Movers,Housing Search,"Flag indicating respondent, who moved in last two years, found home through newspaper or publication",SEARCHPUB,Not Available
Recent Movers,Housing Search,"Flag indicating respondent, who moved in last two years, found home through real estate agent",SEARCHREA,Not Available
Recent Movers,Housing Search,"Flag indicating respondent, who moved in last two years, found home through apartment rental agency listing",SEARCHLIST,Not Available
Recent Movers,Housing Search,"Flag indicating respondent, who moved in last two years, found home through sign outside of building",SEARCHSIGN,Not Available
Recent Movers,Housing Search,"Flag indicating respondent, who moved in last two years, found home through some other way",SEARCHOTH,Not Available
Recent Movers,Housing Search,Reason for stopping housing search sooner than preferred,SEARCHSTOP,Not Available
Recent Movers,Housing Search,Rating of current neighborhood ,NRATE,XNRATE
Recent Movers,Housing Search,Rating of current home ,HRATE,XHRATE
Recent Movers,Mover Group 1 Details,Flag indicating move was more than 50 miles (mover group 1),MVG1LOC,Not Available
Recent Movers,Mover Group 1 Details,Type of structure of former home (mover group 1),MVG1TYPE,XUNIT
Recent Movers,Mover Group 1 Details,Tenure of former home (mover group 1),MVG1TEN,XTEN
Recent Movers,Mover Group 1 Details,Number of people in former home (mover group 1),MVG1PER,XPER
Recent Movers,Mover Group 1 Details,Flag indicating former home was owned/rented by someone in current home (mover group 1),MVG1STAT,XHEAD
Recent Movers,Mover Group 1 Details,Comparison of housing costs to former home (mover group 1),MVG1COST,XCOST
Recent Movers,Mover Group 2 Details,Flag indicating move was more than 50 miles (mover group 2),MVG2LOC,Not Available
Recent Movers,Mover Group 2 Details,Type of structure of former home (mover group 2),MVG2TYPE,XUNIT
Recent Movers,Mover Group 2 Details,Tenure of former home (mover group 2),MVG2TEN,XTEN
Recent Movers,Mover Group 2 Details,Number of people in former home (mover group 2),MVG2PER,XPER
Recent Movers,Mover Group 2 Details,Flag indicating former home was owned/rented by someone in current home (mover group 2),MVG2STAT,XHEAD
Recent Movers,Mover Group 2 Details,Comparison of housing costs to former home (mover group 2),MVG2COST,XCOST
Recent Movers,Mover Group 3 Details,Flag indicating move was more than 50 miles (mover group 3),MVG3LOC,Not Available
Recent Movers,Mover Group 3 Details,Type of structure of former home (mover group 3),MVG3TYPE,XUNIT
Recent Movers,Mover Group 3 Details,Tenure of former home (mover group 3),MVG3TEN,XTEN
Recent Movers,Mover Group 3 Details,Number of people in former home (mover group 3),MVG3PER,XPER
Recent Movers,Mover Group 3 Details,Flag indicating former home was owned/rented by someone in current home (mover group 3),MVG3STAT,XHEAD
Recent Movers,Mover Group 3 Details,Comparison of housing costs to former home (mover group 3),MVG3COST,XCOST
Healthy Homes,Asthma and Air Quality,Flag indicating household has child with asthma,ASTHMA,ASTHMA
Healthy Homes,Asthma and Air Quality,Flag indicating person has asthma,PASTHWHO,PASTHWHO
Healthy Homes,Asthma and Air Quality,Flag indicating emergency room visit for asthma,ASTHEMR,ASTHEMR
Healthy Homes,Asthma and Air Quality,Flag indicating quick relief asthma inhaler used in past 3 months,ASTH1MED,ASTHMED
Healthy Homes,Asthma and Air Quality,Frequency of preventative asthma medication use,ASTH2MED,Not Available
Healthy Homes,Asthma and Air Quality,Frequency of musty smells within last 12 months,MUST,MUST
Healthy Homes,Asthma and Air Quality,Frequency of smoking in home within last 12 months,SMKR,SMKR
Healthy Homes,Asthma and Air Quality,Frequency secondhand smoke entering home within last 12 months,SECSMK,SECSMK
Healthy Homes,Asthma and Air Quality,Flag indicating the home has been tested for radon,RADONTEST,Not Available
Healthy Homes,Asthma and Air Quality,Flag indicating radon test results suggested household take action to reduce radon level,RADONSUG,Not Available
Healthy Homes,Asthma and Air Quality,Flag indicating household took action to reduce radon exposure,RADONACT,Not Available
Healthy Homes,Safety Features,Flag indicating children under 7 live in or  regularly visit the unit,SAFEU7KD,SAFEU5KD
Healthy Homes,Safety Features,Presence of tamper resistant outlet covers,OUTLET,OUTLET
Healthy Homes,Safety Features,"Storage of chemicals, pesticides, cleaning supplies, and medicines",CHEMSTOR,CHEMSTOR
Healthy Homes,Safety Features,Type of use and condition of extension cords ,EXTCORD,EXTC
Healthy Homes,Safety Features,Type of outdoor pool safety measures,POOLSAFE,POOLFEN
Healthy Homes,Safety Features,Flag indicating presence of stairs within unit,STAIRS,STAIRS
Healthy Homes,Safety Features,Condition of stair railings inside unit,STAIRRL,STAIRRL
Healthy Homes,Safety Features,Flag indicating stairways have missing or broken railings,STAIRMIS,STAIRMIS
Healthy Homes,Safety Features,Flag indicating stairways have missing or broken steps,STAIRBRK,STAIRBRK
Healthy Homes,Safety Features,Flag indicating non-slip coverings on stairs,STAIRCOV,STAIRCOV
Healthy Homes,Safety Features,Flag indicating all staircases are well lit,STAIRLGT,STAIRLGT
Healthy Homes,Safety Features,Flag indicating gates on the stairs,STAIRGAT,STAIRGAT
Healthy Homes,Water Quality,Type of well,WELLTYPE,WELL
Healthy Homes,Water Quality,Number of units served by this household's private well,WELLUSERS,WELDUS
Healthy Homes,Water Quality,Flag indicating respondent thinks water is drinking and cooking,WATSAFE,WATERS
Healthy Homes,Water Quality,Source of drinking water,WATDRINK,WATERD
Healthy Homes,Water Quality,Type of accessibility and monitoring of hot water heater,WATTEMP,H20MF
Food Security,Food Security,"Adults in the household worried food would run out before there was money to buy more, in the last 30 days",FSWORRY,Not Available
Food Security,Food Security,"Food didn't last and the household couldn't afford to buy more, in the last 30 days",FSLAST,Not Available
Food Security,Food Security,"Adults in the household couldn't afford to eat balanced meals, in the last 30 days",FSAFFORD,Not Available
Food Security,Food Security,"Flag indicating adults in the household cut or skipped meals, in the last 30 days",FSSKIPMEAL,Not Available
Food Security,Food Security,"Number of days adults in the household cut or skipped meals, in the last 30 days",FSMEALDAYS,Not Available
Food Security,Food Security,"Flag indicating adults in the household ate less than they felt they should because there wasn't enough money for food, in the last 30 days",FSEATLESS,Not Available
Food Security,Food Security,"Flag indicating adults in the household were hungry due to not having money for food, in the last 30 days",FSHUNGRY,Not Available
Food Security,Food Security,"Flag indicating adults in the household lost weight due to not having money for food, in the last 30 days",FSLOSTWGT,Not Available
Food Security,Food Security,"Flag indicating adults in the household didn't eat for a whole day, in the last 30 days",FSNOFOOD,Not Available
Food Security,Food Security,"Number of days adults in the household did not eat, in the last 30 days",FSNODAYS,Not Available
Food Security,Food Security,Rating of overall food security of the household,FSSTATUS,Not Available
Housing Counseling,Housing Counseling,Flag indicating the respondent received advice or counseling from a professional housing counselor in the last two years,HCAVICE,Not Available
Housing Counseling,Housing Counseling,Flag indicating type of housing counseling advice,HCOORR,Not Available
Housing Counseling,Housing Counseling,Flag indicating housing counseling advice was to help with a decision to purchase a new home,HCOWNBUY,Not Available
Housing Counseling,Housing Counseling,Flag indicating housing counseling advice was to help avoid foreclosure,HCOWNFORE,Not Available
Housing Counseling,Housing Counseling,Flag indicating housing counseling  advice was to help refinance or to obtain a reverse mortgage,HCOWNREFI,Not Available
Housing Counseling,Housing Counseling,"Flag indicating housing counseling  advice was to resolve a conflict with a homeowners association, neighbor or former owner",HCOWNCON,Not Available
Housing Counseling,Housing Counseling,Flag indicating housing counseling  advice was for some other reason related to owning,HCOWNOTH,Not Available
Housing Counseling,Housing Counseling,Flag indicating housing counseling  advice was to understand the rights with respect  to Fair Housing,HCRENTFAIR,Not Available
Housing Counseling,Housing Counseling,Flag indicating housing counseling  advice was to help avoid eviction,HCRENTEVIC,Not Available
Housing Counseling,Housing Counseling,Flag indicating housing counseling  advice was to mediate a conflict with the landlord,HCRENTLLRD,Not Available
Housing Counseling,Housing Counseling,Flag indicating housing counseling  advice was to help mediate a conflict with a neighbor or roommate,HCRENTNGH,Not Available
Housing Counseling,Housing Counseling,Flag indicating housing counseling  advice was for some other reason related to renting,HCRENTOTH,Not Available
Housing Counseling,Housing Counseling,Flag indicating respondent paid a fee for the housing counseling,HCPAY,Not Available
Housing Counseling,Housing Counseling,Amount of housing counseling fee,HCAMT,Not Available
Housing Counseling,Housing Counseling,Flag indicating the housing counseling was helpful in answering questions or resolving housing issue,HCHELP,Not Available
Art,Art,Flag indicating access to arts and cultural events played role in neighborhood choice,ARTACCESS,Not Available
Art,Art,Rating of the importance of living near arts and cultural events,ARTNEARBY,Not Available
Art,Art,Rating of satisfaction with arts and cultural events in neighborhood,ARTSATIS,Not Available
Art,Art,Agree or disagree: Arts and cultural events improve neighborhood quality,ARTIMPROVE,Not Available
Art,Art,Agree or disagree: Arts and cultural events attract tourists,ARTATTRACT,Not Available
Art,Art,Agree or Disagree: Arts and cultural events create employment opportunities,ARTJOBS,Not Available
Art,Art,Agree or Disagree: Arts and cultural events improve local economy,ARTECON,Not Available
Art,Art,Agree or Disagree: Arts and cultural events provide opportunities for greater social interaction,ARTSOC,Not Available
Art,Art,Agree or Disagree: Arts and cultural events encourage understanding and awareness of other people or cultures,ARTAWARE,Not Available
Art,Art,Agree or Disagree: Arts and cultural events improve image and identity of neighborhood,ARTIDENT,Not Available
